submitted_at,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,O,C,E,A,N,arquetipo,edad,genero,estado,municipio
28/07/2026 19:53:10,5,5,5,3,2,3,2,2,4,3,4,3,2,2,2,3,2,3,2,4,4.5,2.75,3.5,2.25,2.25,El Crítico Creativo,33,Masculino,Guanajuato,Irapuato
13/07/2026 09:34:54,3,3,3,3,5,5,5,2,2,2,2,3,3,3,3,3,2,2,2,5,3.0,4.75,2.25,3.0,1.75,El Ejecutor Imparable,23,Masculino,Ciudad de Mexico,N/A
15/07/2026 14:43:03,3,4,4,2,5,5,5,1,2,2,1,3,4,4,4,2,3,3,3,3,3.75,5.0,2.0,4.0,3.0,El Arquitecto Silencioso,25,Femenino,Guanajuato,Celaya
08/07/2026 02:25:32,3,3,3,3,4,3,3,3,5,5,5,2,3,3,3,3,1,2,2,4,3.0,3.25,4.75,3.0,1.75,El Carismático Estable,35,Masculino,Guanajuato,Irapuato
14/07/2026 12:27:44,4,3,3,1,3,2,3,2,5,5,5,1,3,3,4,1,3,3,3,3,3.75,3.0,5.0,3.75,3.0,El Improvisador de Oficio,30,Femenino,Guanajuato,Celaya
07/07/2026 06:41:49,4,3,3,3,4,3,4,1,5,5,5,1,4,5,4,1,1,1,1,4,3.25,4.0,5.0,4.5,1.25,El Carismático Estable,18,Masculino,Queretaro,N/A
31/07/2026 20:22:43,4,4,4,3,4,3,4,3,5,4,5,2,4,5,4,3,1,1,1,5,3.75,3.5,4.5,4.0,1.0,El Carismático Estable,25,Masculino,Guanajuato,Irapuato
01/08/2026 18:11:51,3,4,4,3,4,5,4,2,4,4,5,1,4,3,3,2,1,1,1,4,3.5,4.25,4.5,3.5,1.25,El Carismático Estable,23,Femenino,Guanajuato,Salamanca
24/07/2026 18:32:32,3,4,3,1,3,4,4,2,3,3,4,2,5,4,4,2,2,1,2,4,3.75,3.75,3.5,4.25,1.75,El Ancla Emocional,25,Masculino,Guanajuato,Irapuato
13/07/2026 05:48:26,4,4,3,2,3,4,4,1,2,2,3,4,4,3,4,3,3,2,3,4,3.75,4.0,2.25,3.5,2.5,El Arquitecto Silencioso,28,Femenino,Guanajuato,Leon
01/08/2026 15:09:58,4,5,4,1,2,2,2,4,3,2,3,4,3,3,3,3,2,1,2,5,4.5,2.0,2.5,3.0,1.5,El Visionario Sereno,34,Femenino,Guanajuato,Dolores Hidalgo
26/07/2026 17:17:16,4,3,3,3,4,4,5,1,4,3,4,3,5,5,5,3,3,3,3,3,3.25,4.5,3.5,4.5,3.0,El Ancla Emocional,23,Femenino,Guanajuato,Dolores Hidalgo
12/07/2026 20:34:40,4,2,3,3,5,5,5,1,3,3,3,4,3,4,3,2,2,2,3,4,3.0,5.0,2.75,3.5,2.25,El Ejecutor Imparable,23,Masculino,Estado de Mexico,N/A
01/08/2026 18:49:48,4,4,4,1,5,5,5,1,2,2,2,3,3,3,3,3,4,4,5,1,4.25,5.0,2.25,3.0,4.5,El Arquitecto Silencioso,36,Masculino,Guanajuato,Dolores Hidalgo
16/07/2026 03:27:56,3,4,4,2,5,4,4,1,1,1,1,5,3,4,3,3,2,2,2,4,3.75,4.5,1.0,3.25,2.0,El Arquitecto Silencioso,33,Otro,Guanajuato,Leon
07/07/2026 12:54:00,3,3,3,2,3,3,2,3,5,4,5,2,5,5,5,1,2,2,2,3,3.25,2.75,4.5,5.0,2.25,El Ancla Emocional,23,Masculino,Guanajuato,Dolores Hidalgo
15/07/2026 19:34:39,4,4,3,3,3,3,3,2,3,4,3,3,3,3,3,5,4,5,3,2,3.5,3.25,3.25,2.5,4.0,El Escéptico Emocional,28,Femenino,Guanajuato,San Miguel de Allende
16/07/2026 22:39:38,3,4,4,2,2,3,2,4,3,2,2,2,4,4,4,2,4,4,5,1,3.75,2.25,2.75,4.0,4.5,El Sensible Espontáneo,23,Masculino,Guanajuato,Leon
04/08/2026 11:48:23,3,3,3,4,5,5,5,1,4,3,3,2,5,5,5,2,3,3,3,2,2.75,5.0,3.5,4.75,3.25,El Guardián del Método,24,Otro,Guanajuato,Guanajuato
10/07/2026 12:07:35,4,4,4,3,2,2,1,4,4,4,4,2,3,3,3,3,4,4,5,1,3.75,1.75,4.0,3.0,4.5,El Sensible Espontáneo,18,Femenino,Guanajuato,Guanajuato
25/07/2026 01:02:44,4,5,5,2,3,2,2,4,2,3,3,3,4,4,5,2,5,4,4,1,4.5,2.25,2.75,4.25,4.5,El Sensible Espontáneo,19,Masculino,Ciudad de Mexico,N/A
09/07/2026 23:52:52,4,4,4,2,5,5,5,1,3,3,2,3,3,3,3,4,2,2,3,4,4.0,5.0,2.75,2.75,2.25,El Ejecutor Imparable,25,Femenino,Jalisco,N/A
19/07/2026 08:06:51,4,3,2,5,4,3,3,1,3,3,3,4,4,3,3,3,4,4,4,1,2.5,3.75,2.75,3.25,4.25,El Preocupado Metódico,22,Prefiero no decir,Jalisco,N/A
02/08/2026 11:34:04,5,5,5,1,2,2,2,4,3,3,3,3,4,5,4,2,3,4,3,5,5.0,2.0,3.0,4.25,2.75,El Explorador Distraído,20,Femenino,Guanajuato,Dolores Hidalgo
10/07/2026 17:09:09,3,3,3,2,5,5,5,1,1,1,1,3,3,2,3,3,3,2,3,4,3.25,5.0,1.5,2.75,2.5,El Arquitecto Silencioso,36,Masculino,Guanajuato,Leon
16/07/2026 04:22:53,3,3,3,2,2,2,3,2,5,5,5,2,4,3,4,1,3,3,3,4,3.25,2.75,4.75,4.0,2.75,El Improvisador de Oficio,29,Masculino,Queretaro,N/A
15/07/2026 05:08:39,3,3,3,4,3,3,3,3,4,5,5,1,4,4,4,3,3,1,1,4,2.75,3.0,4.75,3.75,1.75,El Carismático Estable,31,Femenino,Guanajuato,Dolores Hidalgo
04/08/2026 03:05:37,3,2,2,4,4,4,4,2,4,3,2,4,5,4,4,1,4,4,4,3,2.25,4.0,2.75,4.5,3.75,El Guardián Leal,20,Femenino,Guanajuato,San Miguel de Allende
10/07/2026 23:59:37,3,3,3,3,2,3,2,3,3,2,3,2,3,2,3,4,5,5,5,2,3.0,2.5,3.0,2.5,4.75,El Sensible Espontáneo,21,Masculino,Queretaro,N/A
16/07/2026 14:09:17,5,4,4,1,2,2,2,2,3,4,5,2,5,4,4,2,4,4,4,2,4.5,2.5,4.0,4.25,4.0,El Explorador Distraído,24,Femenino,Guanajuato,Leon
02/08/2026 16:31:30,2,2,2,4,4,3,4,2,1,3,2,4,3,4,3,3,3,3,3,3,2.0,3.75,2.0,3.25,3.0,El Guardián del Método,18,Femenino,Guanajuato,Salamanca
24/07/2026 19:40:14,3,4,3,3,4,4,3,1,5,5,5,2,3,3,3,4,1,2,2,4,3.25,4.0,4.75,2.75,1.75,El Carismático Estable,19,Femenino,Guanajuato,Irapuato
11/07/2026 23:36:43,5,5,4,1,2,2,2,2,3,3,3,2,4,5,5,2,1,2,2,2,4.75,2.5,3.25,4.5,2.25,El Visionario Sereno,20,Femenino,Jalisco,N/A
23/07/2026 08:21:37,5,5,5,2,4,4,4,2,1,2,2,5,3,4,3,2,2,1,2,3,4.75,4.0,1.5,3.5,2.0,El Filósofo de Bolsillo,29,Femenino,Guanajuato,San Luis de la Paz
09/07/2026 22:48:33,3,4,4,2,5,4,4,2,3,4,3,2,4,3,3,2,3,3,3,3,3.75,4.25,3.5,3.5,3.0,El Ejecutor Imparable,26,Masculino,Guanajuato,Leon
31/07/2026 06:32:27,4,4,5,2,4,4,4,2,4,5,4,2,4,4,3,1,1,1,1,5,4.25,4.0,4.25,4.0,1.0,El Carismático Estable,18,Masculino,Guanajuato,Salamanca
12/07/2026 22:09:49,3,4,4,2,3,3,3,2,5,5,4,2,3,3,4,3,2,2,1,4,3.75,3.25,4.5,3.25,1.75,El Carismático Estable,26,Femenino,Estado de Mexico,N/A
11/07/2026 12:48:31,4,3,4,2,5,5,5,1,2,1,2,4,4,4,4,2,2,2,3,3,3.75,5.0,1.75,4.0,2.5,El Arquitecto Silencioso,22,Masculino,Guanajuato,Silao
26/07/2026 11:55:23,4,4,4,2,3,3,3,1,3,3,3,3,3,3,3,3,5,5,5,1,4.0,3.5,3.0,3.0,5.0,El Introspectivo Profundo,28,Femenino,Jalisco,N/A
02/08/2026 05:35:14,5,5,4,2,2,2,2,3,4,4,3,2,5,4,5,3,4,3,4,2,4.5,2.25,3.75,4.25,3.75,El Explorador Distraído,22,Prefiero no decir,Guanajuato,Leon
26/07/2026 15:03:41,4,3,3,3,2,3,2,4,3,3,3,3,2,2,2,4,5,5,5,1,3.25,2.25,3.0,2.0,5.0,El Escéptico Emocional,20,Masculino,Guanajuato,Silao
30/07/2026 10:28:20,3,2,2,3,4,4,4,1,3,2,3,3,4,4,4,1,3,3,3,3,2.5,4.25,2.75,4.25,3.0,El Guardián Leal,18,Femenino,Guanajuato,San Luis de la Paz
20/07/2026 18:02:15,3,4,4,2,5,4,5,2,4,4,4,3,5,5,5,2,2,2,2,4,3.75,4.5,3.75,4.75,2.0,El Ancla Emocional,18,Masculino,Guanajuato,Guanajuato
23/07/2026 11:27:58,2,2,2,4,3,3,2,3,3,3,3,2,4,4,4,3,5,5,5,1,2.0,2.75,3.25,3.75,5.0,El Preocupado Metódico,23,Femenino,Jalisco,N/A
17/07/2026 11:58:48,3,3,3,2,4,4,4,2,4,4,4,2,3,3,4,2,2,2,2,4,3.25,4.0,4.0,3.5,2.0,El Carismático Estable,26,Femenino,Guanajuato,San Luis de la Paz
24/07/2026 05:48:12,4,3,3,2,2,2,2,4,2,3,2,4,3,2,3,3,4,4,4,1,3.5,2.0,2.25,2.75,4.25,El Sensible Espontáneo,27,Femenino,Guanajuato,Silao
31/07/2026 08:25:41,2,3,3,3,3,3,4,3,4,4,3,1,3,2,3,2,1,1,1,4,2.75,3.25,4.0,3.0,1.25,El Carismático Estable,21,Femenino,Queretaro,N/A
12/07/2026 16:42:30,3,2,3,2,4,4,4,1,2,1,2,4,4,4,3,2,2,1,2,3,3.0,4.25,1.75,3.75,2.0,El Arquitecto Silencioso,30,Masculino,Guanajuato,Irapuato
09/07/2026 13:37:10,2,3,2,4,4,4,4,4,3,2,3,2,4,4,4,2,2,2,2,5,2.25,3.5,3.0,4.0,1.75,El Ancla Emocional,24,Masculino,Ciudad de Mexico,N/A
14/07/2026 22:22:02,3,3,4,3,4,4,4,1,2,2,2,4,3,2,3,3,2,2,3,3,3.25,4.25,2.0,2.75,2.5,El Arquitecto Silencioso,30,Masculino,Guanajuato,Salamanca
31/07/2026 14:41:34,2,2,2,3,4,4,5,3,3,3,3,4,3,3,3,1,3,4,3,1,2.25,4.0,2.75,3.5,3.75,El Guardián del Método,18,Masculino,Guanajuato,Valle de Santiago
21/07/2026 05:04:43,4,4,3,2,3,4,4,3,4,3,3,2,4,4,4,2,4,3,4,2,3.75,3.5,3.5,4.0,3.75,El Buen Corazón Distraído,24,Masculino,Jalisco,N/A
30/07/2026 20:52:22,4,3,4,3,2,2,2,2,5,5,5,1,4,4,4,2,1,1,1,5,3.5,2.5,5.0,4.0,1.0,El Carismático Estable,22,Masculino,Guanajuato,Salamanca
05/07/2026 10:44:37,3,4,3,2,3,2,2,3,3,3,3,3,3,3,3,5,5,4,4,2,3.5,2.5,3.0,2.5,4.25,El Sensible Espontáneo,20,Femenino,Guanajuato,Celaya
25/07/2026 18:45:16,3,3,3,2,5,4,4,1,4,3,4,4,3,3,3,2,3,4,3,2,3.25,4.5,3.25,3.25,3.5,El Guardián del Método,23,Femenino,Guanajuato,Irapuato
23/07/2026 13:54:59,4,3,3,2,3,3,2,3,3,3,4,3,3,3,3,3,4,4,5,2,3.5,2.75,3.25,3.0,4.25,El Sensible Espontáneo,35,Masculino,Queretaro,N/A
21/07/2026 10:48:12,2,2,2,3,5,5,4,3,4,3,4,2,4,4,4,2,3,2,3,2,2.25,4.25,3.75,4.0,3.0,El Guardián del Método,31,Masculino,Guanajuato,Dolores Hidalgo
03/08/2026 15:24:11,4,5,5,2,1,2,1,4,4,4,4,2,3,3,3,2,2,3,3,3,4.5,1.5,4.0,3.25,2.75,El Explorador Distraído,24,Masculino,Guanajuato,Guanajuato
18/07/2026 16:32:01,4,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,5,5,5,2,3.5,2.75,3.25,3.25,4.75,El Sensible Espontáneo,29,Femenino,Queretaro,N/A
15/07/2026 00:15:49,4,4,4,2,3,2,2,4,4,4,4,3,2,3,3,3,4,4,4,2,4.0,2.25,3.75,2.75,4.0,El Sensible Espontáneo,23,Masculino,Queretaro,N/A
01/08/2026 14:18:15,4,4,4,3,3,3,5,3,4,4,3,3,4,5,5,2,1,2,2,4,3.75,3.5,3.5,4.5,1.75,El Ancla Emocional,18,Masculino,Guanajuato,Leon
24/07/2026 14:26:04,3,4,4,3,3,3,3,2,5,5,4,1,4,4,5,2,1,1,2,5,3.5,3.25,4.75,4.25,1.25,El Carismático Estable,26,Femenino,Guanajuato,Leon
24/07/2026 00:04:55,2,2,1,4,4,3,4,2,3,3,3,3,4,5,5,2,4,3,3,2,1.75,3.75,3.0,4.5,3.5,El Guardián Leal,20,Femenino,Queretaro,N/A
13/07/2026 22:41:51,4,5,5,1,2,3,2,3,3,3,4,3,4,3,4,3,2,2,2,2,4.75,2.5,3.25,3.5,2.5,El Explorador Distraído,20,Femenino,Jalisco,N/A
02/08/2026 00:26:56,4,3,4,2,3,3,4,2,5,5,5,2,5,5,5,1,3,2,2,3,3.75,3.5,4.75,5.0,2.5,El Ancla Emocional,24,Femenino,Ciudad de Mexico,N/A
21/07/2026 16:05:20,3,3,3,4,5,5,5,2,2,2,1,5,3,3,4,3,3,3,3,3,2.75,4.75,1.5,3.25,3.0,El Arquitecto Silencioso,20,Masculino,Estado de Mexico,N/A
24/07/2026 09:29:43,3,3,3,3,4,4,5,3,2,2,2,3,2,3,2,3,2,3,3,3,3.0,4.0,2.25,2.5,2.75,El Arquitecto Silencioso,25,Femenino,Guanajuato,Celaya
26/07/2026 15:06:38,3,2,2,1,4,4,4,3,4,4,4,2,5,5,4,3,1,1,2,4,3.0,3.75,4.0,4.25,1.5,El Ancla Emocional,24,Femenino,Queretaro,N/A
14/07/2026 05:01:38,3,3,3,3,5,4,5,1,1,1,2,5,3,3,4,3,2,2,2,4,3.0,4.75,1.25,3.25,2.0,El Arquitecto Silencioso,22,Masculino,Guanajuato,Valle de Santiago
30/07/2026 14:02:02,3,3,3,4,5,4,4,3,3,3,3,2,5,5,4,1,3,4,3,2,2.75,4.0,3.25,4.75,3.5,El Guardián Leal,18,Masculino,Guanajuato,Dolores Hidalgo
12/07/2026 02:04:52,3,3,3,4,5,5,5,2,1,1,1,4,2,3,3,4,3,3,3,4,2.75,4.75,1.25,2.5,2.75,El Arquitecto Silencioso,20,Masculino,Guanajuato,Dolores Hidalgo
28/07/2026 08:21:39,4,4,4,3,2,2,1,4,4,5,5,1,4,4,4,2,3,3,3,2,3.75,1.75,4.75,4.0,3.25,El Improvisador de Oficio,25,Femenino,Guanajuato,Valle de Santiago
31/07/2026 10:07:44,4,4,5,2,2,1,1,5,3,5,5,3,4,4,3,3,3,3,3,3,4.25,1.25,4.0,3.5,3.0,El Explorador Distraído,28,Masculino,Guanajuato,Leon
07/07/2026 14:11:29,3,2,2,3,4,4,4,1,4,4,4,1,4,5,4,2,2,2,2,5,2.5,4.25,4.25,4.25,1.75,El Ancla Emocional,21,Otro,Jalisco,N/A
25/07/2026 20:10:19,4,4,4,3,4,5,4,2,2,2,1,4,3,3,3,2,1,2,1,5,3.75,4.25,1.75,3.25,1.25,El Ejecutor Imparable,24,Femenino,Guanajuato,Leon
16/07/2026 05:32:04,3,2,3,4,3,4,3,2,4,3,4,2,5,5,5,2,3,2,2,4,2.5,3.5,3.75,4.75,2.25,El Ancla Emocional,20,Femenino,Guanajuato,Valle de Santiago
15/07/2026 12:42:37,3,3,3,2,5,5,4,3,4,4,4,2,3,3,3,1,2,2,2,4,3.25,4.25,4.0,3.5,2.0,El Ejecutor Imparable,20,Femenino,Guanajuato,Silao
07/07/2026 06:39:23,5,5,5,1,1,1,1,5,4,3,4,3,3,4,4,4,2,3,2,4,5.0,1.0,3.5,3.25,2.25,El Explorador Distraído,29,Masculino,Estado de Mexico,N/A
23/07/2026 12:37:05,2,3,2,5,5,5,5,2,3,3,3,3,4,4,5,1,4,4,4,3,2.0,4.75,3.0,4.5,3.75,El Guardián del Método,27,Masculino,Ciudad de Mexico,N/A
03/08/2026 06:19:12,3,3,4,3,5,5,5,2,3,3,3,4,4,4,4,1,2,2,2,4,3.25,4.75,2.75,4.25,2.0,El Ejecutor Imparable,29,Masculino,Guanajuato,Celaya
22/07/2026 05:10:06,3,3,3,4,3,2,3,4,3,3,3,2,4,4,4,4,4,5,4,1,2.75,2.5,3.25,3.5,4.5,El Sensible Espontáneo,32,Femenino,Ciudad de Mexico,N/A
23/07/2026 21:14:28,3,3,3,4,4,3,4,1,4,3,4,2,4,5,5,2,2,1,2,4,2.75,4.0,3.75,4.5,1.75,El Ancla Emocional,25,Femenino,Guanajuato,Salamanca
06/07/2026 12:39:35,4,4,5,1,2,2,2,4,3,4,3,2,3,3,3,3,3,3,3,3,4.5,2.0,3.5,3.0,3.0,El Explorador Distraído,31,Femenino,Guanajuato,Salamanca
01/08/2026 07:41:33,5,5,5,1,2,2,2,4,4,4,4,2,1,2,2,3,2,3,3,4,5.0,2.0,4.0,2.0,2.5,El Explorador Distraído,25,Masculino,Guanajuato,Valle de Santiago
07/07/2026 11:53:12,4,4,4,1,4,4,5,1,1,1,1,4,4,4,3,2,2,2,2,3,4.25,4.5,1.25,3.75,2.25,El Arquitecto Silencioso,32,Masculino,Guanajuato,Leon
02/08/2026 13:08:07,3,3,3,1,5,5,5,2,2,2,2,4,4,4,4,3,3,3,4,2,3.5,4.75,2.0,3.75,3.5,El Arquitecto Silencioso,18,Masculino,Guanajuato,Dolores Hidalgo
30/07/2026 15:42:01,3,2,2,3,5,5,5,1,3,3,3,5,4,4,4,3,1,2,2,3,2.5,5.0,2.5,3.75,2.0,El Ejecutor Imparable,28,Femenino,Guanajuato,Dolores Hidalgo
22/07/2026 11:52:51,5,4,4,1,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,4.5,2.75,3.25,3.0,3.0,El Explorador Distraído,30,Femenino,Guanajuato,Silao
30/07/2026 11:17:06,3,3,4,1,5,5,5,2,1,1,1,3,4,2,3,3,2,2,2,4,3.75,4.75,1.5,3.0,2.0,El Arquitecto Silencioso,28,Femenino,Queretaro,N/A
30/07/2026 00:46:01,4,4,5,2,3,4,4,1,3,3,3,4,3,4,3,2,2,2,2,4,4.25,4.0,2.75,3.5,2.0,El Visionario Sereno,27,Masculino,Guanajuato,San Luis de la Paz
09/07/2026 17:00:00,4,4,3,2,2,2,1,4,5,4,4,2,4,4,4,2,2,2,3,3,3.75,1.75,4.25,4.0,2.5,El Improvisador de Oficio,27,Masculino,Guanajuato,Silao
13/07/2026 04:52:46,3,4,4,2,3,4,4,2,4,4,5,2,4,4,4,2,3,3,3,5,3.75,3.75,4.25,4.0,2.5,El Carismático Estable,22,Femenino,Estado de Mexico,N/A
23/07/2026 17:44:51,3,3,3,2,5,5,4,1,1,1,1,4,3,3,2,3,3,3,3,3,3.25,4.75,1.25,2.75,3.0,El Arquitecto Silencioso,27,Masculino,Guanajuato,Valle de Santiago
23/07/2026 14:49:31,5,5,5,1,3,2,3,4,3,4,4,1,3,4,3,4,2,2,3,3,5.0,2.5,4.0,3.0,2.5,El Explorador Distraído,25,Femenino,Ciudad de Mexico,N/A
26/07/2026 19:25:03,4,4,5,1,4,4,4,3,4,3,4,1,4,5,4,1,1,2,2,4,4.5,3.75,4.0,4.5,1.75,El Ancla Emocional,20,Masculino,Guanajuato,Valle de Santiago
20/07/2026 23:43:18,4,4,4,2,3,3,3,3,5,4,4,1,4,4,3,2,3,3,3,4,4.0,3.0,4.5,3.75,2.75,El Carismático Estable,24,Masculino,Guanajuato,Celaya
24/07/2026 18:48:29,4,4,3,1,2,2,3,3,3,3,4,4,4,3,4,2,4,4,3,3,4.0,2.5,3.0,3.75,3.5,El Explorador Distraído,23,Femenino,Guanajuato,Celaya
26/07/2026 14:56:32,4,4,4,4,5,5,5,1,3,3,3,4,3,3,3,3,3,2,3,3,3.5,5.0,2.75,3.0,2.75,El Arquitecto Silencioso,22,Femenino,Guanajuato,San Luis de la Paz
02/08/2026 09:42:00,3,3,3,4,5,5,5,2,4,4,4,2,5,5,5,2,4,3,3,1,2.75,4.75,4.0,4.75,3.75,El Guardián Leal,18,Femenino,Guanajuato,Silao
14/07/2026 09:16:49,3,4,3,3,3,2,2,4,3,4,3,2,3,4,3,3,5,5,5,2,3.25,2.25,3.5,3.25,4.75,El Sensible Espontáneo,27,Masculino,Queretaro,N/A
17/07/2026 15:39:49,2,2,2,5,3,3,3,2,4,4,4,3,4,5,5,1,4,4,4,2,1.75,3.25,3.75,4.75,4.0,El Guardián Leal,31,Masculino,Queretaro,N/A
01/08/2026 18:29:32,4,4,4,1,4,5,5,2,1,2,1,5,3,3,3,2,2,2,2,4,4.25,4.5,1.25,3.25,2.0,El Arquitecto Silencioso,24,Femenino,Queretaro,N/A
04/08/2026 04:54:38,2,3,3,4,3,4,3,4,3,3,3,3,3,3,3,2,4,3,3,2,2.5,3.0,3.0,3.25,3.5,El Preocupado Metódico,25,Masculino,Guanajuato,Irapuato
12/07/2026 21:12:22,4,4,4,3,3,3,3,3,2,2,2,3,3,2,3,2,4,5,4,1,3.75,3.0,2.25,3.0,4.5,El Introspectivo Profundo,18,Femenino,Guanajuato,Silao
16/07/2026 12:38:55,4,4,4,2,3,3,2,4,2,2,1,5,4,4,3,4,5,5,4,1,4.0,2.5,1.5,3.25,4.75,El Introspectivo Profundo,31,Masculino,Guanajuato,Silao
15/07/2026 02:03:01,3,5,5,1,1,2,1,4,3,4,3,1,3,4,3,2,2,2,3,4,4.5,1.5,3.75,3.5,2.25,El Explorador Distraído,25,Masculino,Jalisco,N/A
07/07/2026 11:34:22,3,4,3,2,2,2,2,3,2,3,4,3,3,4,3,3,5,5,5,2,3.5,2.25,3.0,3.25,4.75,El Sensible Espontáneo,18,Masculino,Queretaro,N/A
11/07/2026 19:20:49,3,3,2,4,4,4,4,2,3,3,3,5,4,4,4,2,3,3,2,3,2.5,4.0,2.5,4.0,2.75,El Guardián Leal,20,Masculino,Guanajuato,Leon
19/07/2026 04:09:15,4,4,5,2,3,3,4,3,4,4,4,1,3,3,4,2,1,1,2,4,4.25,3.25,4.25,3.5,1.5,El Carismático Estable,21,Masculino,Guanajuato,Guanajuato
03/08/2026 13:28:39,4,3,3,2,2,3,2,4,3,3,3,4,4,4,3,3,2,2,2,3,3.5,2.25,2.75,3.5,2.25,El Buen Corazón Distraído,22,Masculino,Guanajuato,Salamanca
12/07/2026 13:53:25,5,4,4,1,2,1,2,4,3,3,3,2,4,4,4,4,3,3,2,3,4.5,1.75,3.25,3.5,2.75,El Explorador Distraído,29,Masculino,Guanajuato,Celaya
09/07/2026 10:26:25,3,3,3,3,4,5,4,2,4,3,3,3,2,3,3,4,3,3,3,3,3.0,4.25,3.25,2.5,3.0,El Estratega Sin Rodeos,26,Masculino,Guanajuato,San Luis de la Paz
08/07/2026 18:29:34,3,3,3,3,3,3,3,1,5,5,5,1,4,4,4,2,2,2,2,4,3.0,3.5,5.0,4.0,2.0,El Carismático Estable,19,Masculino,Guanajuato,Salamanca
31/07/2026 00:46:57,4,4,3,2,4,3,3,3,5,5,5,1,4,4,4,1,3,2,2,4,3.75,3.25,5.0,4.25,2.25,El Carismático Estable,28,Masculino,Guanajuato,Guanajuato
25/07/2026 07:06:31,3,3,3,3,4,4,4,2,4,4,4,2,3,3,3,4,2,3,2,4,3.0,4.0,4.0,2.75,2.25,El Carismático Estable,25,Femenino,Jalisco,N/A
11/07/2026 07:15:06,3,2,2,3,5,5,5,2,3,2,3,4,4,4,4,2,3,3,3,4,2.5,4.75,2.5,4.0,2.75,El Guardián del Método,30,Masculino,Guanajuato,San Miguel de Allende
10/07/2026 22:04:27,3,3,3,3,4,4,4,2,5,5,5,2,5,5,4,1,2,1,3,3,3.0,4.0,4.75,4.75,2.25,El Ancla Emocional,22,Masculino,Guanajuato,Valle de Santiago
24/07/2026 15:10:09,2,2,2,4,4,4,3,2,2,3,3,4,3,3,3,2,3,3,3,4,2.0,3.75,2.5,3.25,2.75,El Guardián del Método,24,Masculino,Guanajuato,San Miguel de Allende
27/07/2026 09:17:17,2,2,1,5,4,4,5,2,2,2,2,3,5,5,5,1,2,2,3,4,1.5,4.25,2.25,5.0,2.25,El Guardián Leal,19,Femenino,Guanajuato,Valle de Santiago
04/08/2026 12:17:48,4,3,3,3,4,4,4,2,4,4,4,1,3,3,3,2,2,1,2,5,3.25,4.0,4.25,3.25,1.5,El Carismático Estable,18,Femenino,Jalisco,N/A
01/08/2026 18:50:57,3,3,2,3,3,3,4,4,4,4,4,3,3,4,3,3,4,3,4,2,2.75,3.0,3.75,3.25,3.75,El Preocupado Metódico,19,Femenino,Guanajuato,Celaya
05/07/2026 23:21:30,2,2,2,4,4,4,5,1,3,3,3,5,4,4,4,2,3,4,3,4,2.0,4.5,2.5,4.0,3.0,El Guardián del Método,21,Masculino,Guanajuato,Dolores Hidalgo
